area_name.x,area_code,diabetes_qof_prevalence_17_yrs_17_yrs_persons,percentage_of_people_with_type_2_diabetes_aged_under_40_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_40_to_64_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_65_to_79_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_80_and_over_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_male_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_female_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_white_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_minority_ethnic_origin_all_ages_persons,people_with_type_2_diabetes_who_received_a_blood_glucose_test_all_ages_persons,people_with_type_2_diabetes_who_received_all_8_care_processes_all_ages_persons,people_with_type_2_diabetes_who_achieved_all_three_treatment_targets_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_48_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_58_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_86_mmol_mol_or_less_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_were_offered_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_attended_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,area_name.y,value
South Yorkshire ICB - 03N ,nE38000146,6.58544557336405,4.7244094488189,43.3234908136483,36.1220472440945,15.8136482939633,54.9376640419948,45.0623359580052,72.9166666666667,19.258530183727,92.9461942257218,38.0741469816273,32.2380284512122,29.2019774011299,59.7281073446328,92.1080508474576,57.87965616,6.876790831,South Yorkshire ICB - 03N ,27.568
Somerset ICB - 11X ,nE38000150,7.40377655064011,2.58308157099698,35.0755287009063,43.8519637462236,18.4894259818731,56.797583081571,43.1873111782477,86.4652567975831,2.43202416918429,89.6978851963746,46.3141993957704,30.685780705153,27.8940263246709,59.5342558218022,91.36010799865,64.51612903,1.985111663,Somerset ICB - 11X ,17.783
Staffordshire and Stoke-on-Trent ICB - 05Q ,nE38000153,7.41394077242021,3.04,38.1866666666667,43.0933333333333,15.68,56.2133333333333,43.7866666666667,82.24,2.82666666666667,80.2666666666667,25.1733333333333,37.2312983662941,31.9277108433735,64.4578313253012,92.1686746987952,57.57575758,4.04040404,Staffordshire and Stoke-on-Trent ICB - 05Q ,15.02
Cheshire and Merseyside ICB - 01T ,nE38000161,7.40506131131131,3.4324942791762,41.9336384439359,39.8741418764302,14.7025171624714,55.6064073226545,44.3935926773455,94.9656750572082,2.97482837528604,83.466819221968,24.370709382151,35.045871559633,31.4266023432116,62.5775327360441,90.8339076498966,64.28571429,2.040816327,Cheshire and Merseyside ICB - 01T ,30.999
North East and North Cumbria ICB - 00N ,nE38000163,7.7181259718865,4.07191961924907,41.8297197250132,38.8683236382866,15.2300370174511,54.8387096774194,45.1612903225806,88.1015335801163,4.91803278688525,82.7075621364358,40.2961396086727,28.9432176656151,29.7953964194373,57.4808184143223,88.6828644501279,72.97297297,2.702702703,North East and North Cumbria ICB - 00N ,30.608
Mid and South Essex ICB - 99G ,nE38000168,6.87869239858212,3.65720524017467,42.0851528384279,39.1921397379913,15.0655021834061,56.3318777292576,43.6135371179039,74.9454148471616,16.4847161572052,79.203056768559,16.2663755458515,34.5924453280318,36.0689655172414,65.3103448275862,93.0344827586207,66.99029126,13.59223301,Mid and South Essex ICB - 99G ,24.516
Cheshire and Merseyside ICB - 01V ,nE38000170,7.27699084798542,2.07439198855508,34.9070100143062,41.9170243204578,21.173104434907,56.7238912732475,43.2761087267525,92.8469241773963,3.93419170243205,86.8383404864092,32.8326180257511,42.7692307692308,37.1900826446281,69.9173553719008,93.6363636363636,62.31884058,1.449275362,Cheshire and Merseyside ICB - 01V ,18.401
Cheshire and Merseyside ICB - 01X ,nE38000172,8.01008796210863,3.7037037037037,41.456228956229,40.4882154882155,14.3097643097643,56.3552188552189,43.6447811447811,89.520202020202,2.3989898989899,83.7542087542087,19.486531986532,40.5806887238352,36.2216624685139,64.8362720403023,91.8891687657431,55.37190083,1.652892562,Cheshire and Merseyside ICB - 01X ,29.809
Staffordshire and Stoke-on-Trent ICB - 05V ,nE38000173,6.9896327563013,2.65604249667995,35.3917662682603,43.4262948207171,18.4594953519256,57.2377158034529,42.7622841965471,81.6069057104914,4.51527224435591,81.0756972111554,27.0252324037185,36.8861024033438,35.2844187963726,65.6224237427865,93.3223413025556,61.40350877,8.771929825,Staffordshire and Stoke-on-Trent ICB - 05V ,13.147
Greater Manchester ICB - 01W ,nE38000174,6.7758719917313,3.35844318895166,41.8079096045198,38.8888888888889,15.9447583176397,56.9052102950408,43.0947897049592,66.8863779033271,11.4249843063402,89.2341494036409,38.2297551789077,39.3100681909346,32.4533614924322,66.5962689193946,93.4178106300598,65.59139785,1.612903226,Greater Manchester ICB - 01W ,19.108
Staffordshire and Stoke-on-Trent ICB - 05W ,nE38000175,8.55036834063186,5.08021390374332,43.6631016042781,37.9679144385027,13.3155080213904,55.4545454545455,44.572192513369,85.8823529411765,12.5401069518717,81.4705882352941,25.8021390374332,38.1689517912428,34.1160684334116,63.9718215363972,91.8483730291848,63.58024691,4.320987654,Staffordshire and Stoke-on-Trent ICB - 05W ,33.579
North East and North Cumbria ICB - 00P ,nE38000176,7.85884307144325,4.19336051252184,42.4868957483984,39.0215492137449,14.2981945253349,56.2026790914386,43.7973209085614,86.0803727431567,3.90215492137449,88.4100174723355,22.6266744321491,37.5856816450876,32.7949901120633,61.5688859591299,90.9360580092287,73.22404372,2.18579235,North East and North Cumbria ICB - 00P ,29.725
Mid and South Essex ICB - 07G ,nE38000185,7.13559710252813,4.7536231884058,50.0869565217391,34.2608695652174,10.8985507246377,56.1739130434783,43.8260869565217,70.5507246376812,20.8115942028986,86.8405797101449,20.1159420289855,40.1617250673854,34.3353373413494,65.3306613226453,93.3199732798931,74.38016529,4.958677686,Mid and South Essex ICB - 07G ,21.603
Greater Manchester ICB - 02A ,nE38000187,6.41187634869875,3.54020979020979,41.9143356643357,37.4125874125874,17.1765734265734,56.1188811188811,43.8811188811189,65.2972027972028,21.6346153846154,81.9055944055944,31.7307692307692,37.8983050847458,34.6895074946467,65.9528907922912,93.7366167023555,61.70212766,1.063829787,Greater Manchester ICB - 02A ,15.388
Humber and North Yorkshire ICB - 03Q ,nE38000188,5.61768326218474,2.78597181252049,35.6276630612914,43.1006227466404,18.4857423795477,57.2926909210095,42.7073090789905,77.8761061946903,2.88430022943297,86.2667977712226,36.6109472304163,32.3722812341932,28.1152647975078,60.2803738317757,92.7570093457944,63.75838926,16.10738255,Humber and North Yorkshire ICB - 03Q ,12.277
West Yorkshire ICB - 03R ,nE38000190,7.95633783775084,3.71909866549989,42.5289870925399,39.7506016189018,13.9794355720849,56.2021439509954,43.7978560490046,87.5957120980092,6.21308247648217,87.3988186392474,46.6637497265369,38.0658436213992,29.7541394882087,62.9202207727045,92.4485699949824,65.34653465,2.640264026,West Yorkshire ICB - 03R ,26.892
Cheshire and Merseyside ICB - 02E ,nE38000194,6.96070210744033,3.54364736387208,41.6162489196197,39.6715643906655,15.1685393258427,56.0933448573898,43.9066551426102,87.0354364736387,5.87726879861711,85.0907519446845,17.286084701815,36.8729641693811,32.8753180661578,66.2595419847328,92.9262086513995,65.69343066,2.919708029,Cheshire and Merseyside ICB - 02E ,19.312
Hertfordshire and West Essex ICB - 07H ,nE38000197,6.65977184405165,3.18066157760814,41.6984732824427,37.881679389313,17.2391857506361,56.4885496183206,43.5114503816794,71.7557251908397,10.7188295165394,84.5419847328244,32.2201017811705,35.4266538830297,34.2943854324734,65.0606980273141,92.298937784522,54.80769231,3.846153846,Hertfordshire and West Essex ICB - 07H ,16.06
Lancashire and South Cumbria ICB - 02G ,nE38000200,7.17877690176859,2.26130653266332,39.1122278056951,42.5460636515913,16.0804020100503,57.1189279731993,42.7973199329983,91.2897822445561,2.01005025125628,82.998324958124,27.3869346733668,42.8753180661578,35.0912778904665,66.5314401622718,92.4949290060852,64.1509434,1.886792453,Lancashire and South Cumbria ICB - 02G ,19.983
"Leicester, Leicestershire and Rutland ICB - 04V ",nE38000201,6.94666477288181,3.26540064844836,39.7869383974062,41.1069939786938,15.8638258452987,56.9013432144511,43.0986567855489,79.4580824455767,12.1120889300602,87.1236683649838,32.9087540528022,36.5546218487395,31.0547396528705,63.6582109479306,92.9506008010681,48.11320755,2.358490566,"Leicester, Leicestershire and Rutland ICB - 04V ",13.443
Suffolk and North East Essex ICB - 07K ,nE38000204,7.88471893802823,2.55671588044653,35.7940223262514,43.5722002160605,18.1130716600648,56.4638098667627,43.5361901332373,92.7619733525387,3.4209578682031,88.9088944904573,28.2319049333813,38.5048643113159,30.3448275862069,66.2880324543611,92.6977687626775,64.6875,7.1875,Suffolk and North East Essex ICB - 07K ,16.393
Greater Manchester ICB - 02H ,nE38000205,7.85614305921283,3.37820675641351,41.9100838201676,41.0972821945644,13.5890271780544,56.4135128270257,43.5864871729743,89.0525781051562,4.24180848361697,80.01016002032,8.58521717043434,41.8222222222222,36.2941738299904,66.4756446991404,92.4227952881248,66.82692308,3.846153846,Greater Manchester ICB - 02H ,24.857
Cheshire and Merseyside ICB - 12F ,nE38000208,7.3632977330268,3.31460674157303,39.747191011236,40.4775280898876,16.4325842696629,56.5168539325843,43.4550561797753,90.8426966292135,4.57865168539326,87.6966292134831,25.0842696629213,39.4534257120862,37.9365587952579,67.0618391541173,92.3742390259532,72.09302326,1.744186047,Cheshire and Merseyside ICB - 12F ,26.892
North East and North Cumbria ICB - 13T ,nE38000212,6.88758358773077,4.80958340783122,44.3768996960486,36.2417307348471,14.571786161273,55.1045950295012,44.8954049704988,83.9620954764885,11.9971392812444,89.8623279098874,41.8916502771321,34.5574817518248,28.1723862729449,59.976057462091,89.3854748603352,64.64088398,4.419889503,North East and North Cumbria ICB - 13T ,27.297
North East and North Cumbria ICB - 01H ,nE38000215,8.15089603750254,2.45413981160139,36.5642042637581,43.1085770946951,17.8730788299455,56.1229548834903,43.8770451165097,84.9281110560238,1.31383242439266,87.431829449677707,38.9439762022806,37.5452451464298,29.2338709677419,63.9688940092166,91.5322580645161,75.29411765,1.176470588,North East and North Cumbria ICB - 01H ,21.23
